Save for Later


134 seconds
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,19660322:0900,23.8,24,16.2,24,11.7,24,-,-,-,D
1962,19660323:0900,24.1,24,14.7,24,9.1,24,-,-,-,D
1962,19660324:0900,23.4,24,13.4,24,7.8,24,-,-,-,D
1962,19660325:0900,23.9,24,14.2,24,7.9,24,-,-,-,D
1962,19660326:0900,23.8,24,16.2,24,10.5,24,-,-,-,D
1962,19660327:0900,23.5,24,15.4,24,11.0,24,-,-,-,D
1962,19660328:0900,24.1,24,15.6,24,9.5,24,-,-,-,D
1962,19660329:0900,22.2,24,15.1,24,13.1,24,-,-,-,D
1962,19660330:0900,22.1,24,17.5,24,16.0,24,-,-,-,D
1962,19660331:0900,20.7,24,16.1,24,15.7,24,-,-,-,D
1962,19660401:0900,21.4,24,15.2,24,16.2,24,-,-,-,D
1962,19660402:0900,19.9,24,15.4,24,15.6,24,-,-,-,D
1962,19660403:0900,19.9,24,13.8,24,12.8,24,-,-,-,D
1962,19660404:0900,18.8,24,6.7,24,2.7,24,-,-,-,D
1962,19660405:0900,19.5,24,12.7,24,12.8,24,-,-,-,D
1962,19660406:0900,21.2,24,13.8,24,10.0,24,-,-,-,D
1962,19660407:0900,20.4,24,14.2,24,12.0,24,-,-,-,D
1962,19660408:0900,20.8,24,10.8,24,7.2,24,-,-,-,D
1962,19660409:0900,21.3,24,16.2,24,16.1,24,-,-,-,D
1962,19660410:0900,22.2,24,14.3,24,13.3,24,-,-,-,D
1962,19660411:0900,19.3,24,11.7,24,9.3,24,-,-,-,D
1962,19660412:0900,19.3,24,12.5,24,8.9,24,-,-,-,D
1962,19660413:0900,20.0,24,10.7,24,8.4,24,-,-,-,D
1962,19660414:0900,20.5,24,9.6,24,5.1,24,-,-,-,D
1962,19660415:0900,20.2,24,10.0,24,5.6,24,-,-,-,D
1962,19660416:0900,19.7,24,13.0,24,10.2,24,-,-,-,D
1962,19660417:0900,18.3,24,10.4,24,5.7,24,-,-,-,D
1962,19660418:0900,20.2,24,14.4,24,13.3,24,-,-,-,D
1962,19660419:0900,19.4,24,14.5,24,12.2,24,-,-,-,D
1962,19660420:0900,18.7,24,13.6,24,10.9,24,-,-,-,D
1962,19660421:0900,18.7,24,7.7,24,3.9,24,-,-,-,D
1962,19660422:0900,20.6,24,8.3,24,4.7,24,-,-,-,D
1962,19660423:0900,19.3,24,8.8,24,5.9,24,-,-,-,D
1962,19660424:0900,19.1,24,11.2,24,6.9,24,-,-,-,D
1962,19660425:0900,20.2,24,14.0,24,11.7,24,-,-,-,D
